Product_name,Price,Rating,Seller_name
,,,
"Mi 10000mAH Li-Polymer, Micro-USB and Type C Input Port, Power Bank 3i with 18W Fast Charging (Midnight Black)",,4.2 out of 5 stars,Mi
"boAt EnergyShroom PB300 Air 10000 mAh 22.5W Pocket Size Power Bank with Compact and Lightweight Design, LED Battery Display, 12 Layer Smart IC Protection & Smart Power Management(Carbon Black)","1,349",4.0 out of 5 stars,boAt
"Ambrane 10000mAh Rugged, Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Force 10k, Orange)","1,299",3.9 out of 5 stars,Ambrane
,,,
"ZEBRONICS Mb10000S11 Power Bank, 10000 Mah, Rapid Charge, 20W Output, Dual USB Output, Pd 3.0 Type C, Built in Protections, Tablets Led Indicator, Made in India (Black)",599,3.4 out of 5 stars,ZEBRONICS
"Lifelong ZenCharge 10000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Light Green, Lithium Polymer, Fast Charging, Quick Charge 3.0, Earbuds, Speaker, Tablet)","1,498",4.3 out of 5 stars,Lifelong
"Ambrane 20000mAh Powerbank, 22.5W Fast Charging, Triple Output (2 USB & 1 Type C), Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 20, Green)","1,599",3.7 out of 5 stars,Ambrane
"URBN 20000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Blue)","2,102",3.9 out of 5 stars,URBN
"Redmi Lithiumpolymer 10000 Mah Fast Charging Slim Power Bank (Black, 10W Fast Charging, Dual Ports)",999,4.1 out of 5 stars,Redmi
"Ambrane 5000mAh 20W Pocket/Travel Friendly Super Compact Type C Fast Charging powerbank, in-Built Type C Input/Output Pin Compatible with Android, iPhone, Samsung Type C Phones (Pocket 5, Black)","1,199",4.0 out of 5 stars,Ambrane
,,,
Amazon Basics 20000 mAh 22.5W Ultra Fast Charging Power Bank | Type C Power Delivery (Input & Output) | Quick Charge | Two-Way Fast Charging (Lime),"1,599",3.9 out of 5 stars,Amazon
"Ambrane 5000mAh 20W Pocket/Travel Friendly Super Compact Type C Fast Charging powerbank, in-Built Type C Input/Output Pin Compatible with Android, iPhone, Samsung Type C Phones (Pocket 5, Blue)","1,199",4.0 out of 5 stars,Ambrane
Amazon Basics 10000 mAh 22.5W Ultra Fast Charging Power Bank | Type C Power Delivery (Input & Output) | Quick Charge | Two-Way Fast Charging (Lime),999,3.9 out of 5 stars,Amazon
"pTron Dynamo Spark 10000mAh 22.5W Power Bank, Compact Size Fast Charging, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Output Ports, 2 Input Ports & BIS Certified (Blue)",999,4.0 out of 5 stars,pTron
"Kratos Legend Pro Power Bank with USB C/B Input, Dual USB A Output, Slim Power Bank 10000mah Compatible for iPhone (Type A to Lightning), Samsung, Xiaomi, Oppo, Vivo, Remdi (use Type A to C/B Cable)",449,3.7 out of 5 stars,Kratos
"Spigen 20,000mAh, 30W Fast Charging Durable Alloy Power Bank with PD3.0 20W for 2 USB-C Ports, QC3.0 22.5W for USB-A Port - Navy Blue","2,477",3.9 out of 5 stars,Spigen
